,address_lat,address_lng,contributors,currency,loan_identifier,monthLastUpdate,name,prices,yearLastUpdate
246,28.872807,-81.246436,9,USD,2A46AX48XG,12,"Deltona, FL, United States",1700.0,2015
247,46.2977,16.344015,16,HRK,1HA91J3N5Q,12,"Varazdin, Croatia",4200.0,2015
248,39.461124,-76.248893,2,USD,24VF4344NG,12,"Abingdon, MD, United States",2300.0,2015
249,37.977133,23.729875,474,EUR,20DTNM41T1,1,"Athens, Greece",717.856953125,2016
250,43.596659,-79.708893,82,CAD,1VZD0K3ZGQ,1,"Mississauga, Canada",2250.11111111,2016
251,44.408788,8.933717,57,EUR,JZRGF346A,12,"Genoa, Italy",1679.375,2015
252,40.145035,-76.215697,19,USD,27PY3M465G,12,"Lancaster, PA, United States",2350.0,2015
253,43.596659,-79.708893,82,CAD,1VMHGN3ZAP,1,"Mississauga, Canada",2250.11111111,2016
254,37.402682,-5.983645,50,EUR,FJ16W31W9,12,"Sevilla, Spain",1144.45,2015
255,53.499801,49.398856,4,USD,2BYVVZ4BYB,11,"Tolyatti (Togliatti), Russia",450.0,2015
256,53.069756,8.823655,35,EUR,1YR8KS40X1,11,"Bremen, Germany",2210.0,2015
257,-25.443494,-49.056411,127,BRL,1VA7JY3Z58,1,"Curitiba, Brazil",1675.0,2016
258,40.708825,-73.827046,1,JMD,271CGW45PW,7,"Richmond, Jamaica",150000.0,2014
259,-23.970511,-46.334904,19,BRL,28QRGH478G,12,"Santos, Brazil",2250.0,2015
260,46.2977,16.344015,16,HRK,1Q8T373VN7,12,"Varazdin, Croatia",4200.0,2015
261,38.700807,-121.456751,113,USD,28MKNR4751,1,"Sacramento, CA, United States",2746.19857143,2016
262,37.977133,23.729875,474,EUR,1RANBF3WSJ,1,"Athens, Greece",717.856953125,2016
263,34.101952,-118.331733,4,USD,1CDM4V3HKZ,11,"West Hollywood, CA, United States",3900.0,2015
264,28.872807,-81.246436,9,USD,2F2EDY4J7C,12,"Deltona, FL, United States",1700.0,2015
